Primary Property Type,Total_Emissions
Other - Entertainment/Public Assembly,120555.3
Other - Education,23373.4
Library,252674.0
Adult Education,46818.5
College/University,2157092.7
Worship Facility,107483.40000000001
Senior Care Community,227571.3999999999
Automobile Dealership,39148.2
Distribution Center,2253.2
Bank Branch,11141.2
Other - Mall,84857.80000000002
Other - Services,4646.9
Movie Theater,35789.100000000006
Other - Specialty Hospital,102911.0
Indoor Arena,65699.9
Data Center,593475.1
Hospital (General Medical & Surgical),5033540.0
Office,1.4516750799999978E7
Multifamily Housing,1.5360168699999992E7
Laboratory,1261579.1
Retail Store,690155.6000000002
Lifestyle Center,7114.799999999999
Mixed Use Property,2059529.0999999996
Prison/Incarceration,507331.6
Other - Public Services,19371.799999999996
Stadium (Open),22703.0
Residential Care Facility,87951.59999999998
Other,290641.1
Enclosed Mall,309819.4
Fitness Center/Health Club/Gym,200273.6
Other - Recreation,67276.20000000001
Courthouse,125346.10000000002
Medical Office,356247.30000000005
Hotel,2625303.9000000004
Other - Lodging/Residential,33865.5
Ambulatory Surgical Center,87441.2
Social/Meeting Hall,26501.700000000004
Ice/Curling Rink,13142.4
Commerce de détail,1602.2
Urgent Care/Clinic/Other Outpatient,3598.5
K-12 School,2782016.099999997
Outpatient Rehabilitation/Physical Therapy,48212.5
Supermarket/Grocery Store,799402.4000000004
Museum,357750.2
Performing Arts,148546.3
Senior Living Community,199753.3
Pre-school/Daycare,16931.6
Convention Center,999811.3
Residence Hall/Dormitory,314141.60000000015
Wholesale Club/Supercenter,104943.1
"Repair Services (Vehicle, Shoe, Locksmith, etc.)",5697.1
Financial Office,399620.19999999995
Vehicle Dealership,4691.3
Strip Mall,356700.0
